"","V1"
"GeorgeBush_1_2",8
"GeorgeBush_1_3",8
"GeorgeBush_1_4",8
"GeorgeBush_1_5",8
"GeorgeBush_1_6",8
"GeorgeBush_1_7",6
"GeorgeBush_1_8",9
"GeorgeBush_1_9",8
"GeorgeBush_1_10",9
"GeorgeBush_1_11",4
"GeorgeBush_1_12",8
"GeorgeBush_1_13",6
"GeorgeBush_1_14",6
"GeorgeBush_1_15",14
"GeorgeBush_1_16",3
"GeorgeBush_1_17",3
"GeorgeBush_1_18",3
"GeorgeBush_1_19",3
"GeorgeBush_1_20",2
"GeorgeBush_1_21",10
"GeorgeBush_1_22",10
"GeorgeBush_1_23",11
"GeorgeBush_1_24",4
"GeorgeBush_1_25",5
"GeorgeBush_1_26",4
"GeorgeBush_1_27",9
"GeorgeBush_1_28",7
"GeorgeBush_1_29",10
"GeorgeBush_1_30",7
"GeorgeBush_1_31",1
"GeorgeBush_1_32",1
"GeorgeBush_1_33",1
"GeorgeBush_1_34",1
"GeorgeBush_1_35",1
"GeorgeBush_1_36",1
"GeorgeBush_1_37",2
"GeorgeBush_1_38",10
"GeorgeBush_1_39",9
"GeorgeBush_1_40",10
"GeorgeBush_1_41",4
"GeorgeBush_1_42",10
"GeorgeBush_1_43",10
"GeorgeBush_1_44",1
"GeorgeBush_1_45",11
"GeorgeBush_1_46",6
"GeorgeBush_1_47",6
"GeorgeBush_1_48",9
"GeorgeBush_1_49",9
"GeorgeBush_1_50",9
"GeorgeBush_1_51",11
"GeorgeBush_1_52",13
"GeorgeBush_1_53",9
"GeorgeBush_1_54",9
"GeorgeBush_1_55",14
"GeorgeBush_1_56",14
"GeorgeBush_1_57",14
"GeorgeBush_1_58",5
"GeorgeBush_1_59",5
"GeorgeBush_1_60",11
"GeorgeBush_1_61",9
"GeorgeBush_1_62",3
"GeorgeBush_1_63",3
"GeorgeBush_1_64",3
"GeorgeBush_1_65",5
"GeorgeBush_1_66",5
"GeorgeBush_1_67",9
"GeorgeBush_1_68",1
"GeorgeBush_1_69",1
"GeorgeBush_1_70",1
"GeorgeBush_1_71",1
"GeorgeBush_1_72",1
"GeorgeBush_1_73",2
"GeorgeBush_1_74",9
"GeorgeBush_1_75",1
"GeorgeBush_1_76",7
"GeorgeBush_1_77",11
