"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","work","world","peopl","freedom","can","countri","will","presid","govern","must","america","nation","journey","great","new"
"2","free","long","one","hope","know","american","togeth","fellow","live","time","everi","good","life","word","american"
"3","children","now","power","liberti","face","citizen","job","year","chang","generat","make","great","right","never","centuri"
"4","now","prosper","today","histori","common","day","bring","god","call","thing","heart","world","requir","men","let"
"5","respons","across","futur","act","peac","mani","challeng","citizen","mean","come","choic","protect","find","women","promis"
"6","famili","war","serv","duti","believ","caus","back","thank","less","spirit","renew","reform","still","dream","land"
"7","first","earth","anoth","move","just","even","state","oath","courag","end","will","valu","way","say","democraci"
"8","polit","age","resolv","human","father","question","build","servic","stori","turn","ideal","strength","see","day","hand"
"9","take","economi","communiti","forc","unit","today","care","faith","civil","better","today","alway","equal","life","may"
"10","done","reach","celebr","forward","leader","wealth","effort","last","american","idea","knowledg","rule","moment","like","meet"
"11","much","right","endur","came","seek","home","show","stand","friend","young","know","alon","found","purpos","yes"
"12","help","opportun","person","uniti","america","freedom","road","place","charact","gift","eye","secur","commit","rememb","throughout"
"13","other","peac","capit","accept","still","share","stand","unit","strong","choos","embrac","speak","complet","whether","build"
"14","door","million","parti","union","societi","understand","har","gather","ideal","pass","also","need","demand","small","enough"
"15","storm","celebr","give","set","will","birth","technolog","justic","challeng","carri","bold","task","mean","part","everi"
"16","crime","creed","advanc","yet","grow","determin","threat","man","give","chanc","chosen","care","well","born","place"
"17","live","digniti","offic","justic","ill","million","commerc","taken","old","need","fortun","defend","forc","just","vision"
"18","honor","middl","success","citizen","right","other","vital","ago","time","deserv","instead","extend","true","guid","bless"
"19","might","new","congress","confid","clear","weve","anew","pledg","need","endur","econom","hard","sacrific","soul","whose"
"20","poverti","secur","pain","declar","light","foreign","bind","neighbor","public","precious","encourag","health","better","watch","bridg"
